
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at java.net.SocksSocketImpl.connect(SocksSocketImpl.java:392) ~[na:1.8.0_25]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at java.net.Socket.connect(Socket.java:589) ~[na:1.8.0_25]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at java.net.Socket.connect(Socket.java:538) ~[na:1.8.0_25]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at java.net.Socket.<init>(Socket.java:434) ~[na:1.8.0_25]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at java.net.Socket.<init>(Socket.java:244) ~[na:1.8.0_25]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at com.mysql.jdbc.StandardSocketFactory.connect(StandardSocketFactory.java:259) ~[mysql-connector-java-5.1.24.jar:na]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at com.mysql.jdbc.MysqlIO.<init>(MysqlIO.java:305) ~[mysql-connector-java-5.1.24.jar:na]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	... 30 common frames omitted
STATUS | wrapper  | 2014/11/26 15:47:36 | <-- Wrapper Stopped
STATUS | wrapper  | 2014/11/26 15:48:18 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/11/26 15:48:18 | Java Service Wrapper Community Edition 64-bit 3.3.6
STATUS | wrapper  | 2014/11/26 15:48:18 |   Copyright (C) 1999-2009 Tanuki Software, Ltd.  All Rights Reserved.
STATUS | wrapper  | 2014/11/26 15:48:18 |     http://wrapper.tanukisoftware.org
STATUS | wrapper  | 2014/11/26 15:48:18 | 
STATUS | wrapper  | 2014/11/26 15:48:18 | Launching a JVM...
INFO   | jvm 1    | 2014/11/26 15:48:19 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/11/26 15:48:19 | 15:48:19.447 [WrapperSimpleAppMain] INFO  rebat-db - Checking schema...
INFO   | jvm 1    | 2014/11/26 15:48:20 | 15:48:20.468 [WrapperSimpleAppMain] INFO  rebat-db - Schema OK!
INFO   | jvm 1    | 2014/11/26 15:48:20 | 15:48:20.635 [WrapperSimpleAppMain] INFO  rebat-db - Listening on port 2011 ...
STATUS | wrapper  | 2014/11/29 23:26:36 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2014/11/29 23:26:39 | <-- Wrapper Stopped
STATUS | wrapper  | 2014/11/30 10:50:41 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/11/30 10:50:41 | Java Service Wrapper Community Edition 64-bit 3.3.6
STATUS | wrapper  | 2014/11/30 10:50:41 |   Copyright (C) 1999-2009 Tanuki Software, Ltd.  All Rights Reserved.
STATUS | wrapper  | 2014/11/30 10:50:41 |     http://wrapper.tanukisoftware.org
STATUS | wrapper  | 2014/11/30 10:50:41 | 
STATUS | wrapper  | 2014/11/30 10:50:42 | Launching a JVM...
INFO   | jvm 1    | 2014/11/30 10:50:44 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/11/30 10:50:47 | 10:50:47.297 [WrapperSimpleAppMain] INFO  rebat-db - Checking schema...
INFO   | jvm 1    | 2014/11/30 10:50:48 | 10:50:48.655 [WrapperSimpleAppMain] INFO  rebat-db - Schema OK!
INFO   | jvm 1    | 2014/11/30 10:50:48 | 10:50:48.784 [WrapperSimpleAppMain] INFO  rebat-db - Listening on port 2011 ...
STATUS | wrapper  | 2014/12/02 23:40:31 | JVM received a signal SIGKILL (9).
STATUS | wrapper  | 2014/12/02 23:40:32 | JVM process is gone.
ERROR  | wrapper  | 2014/12/02 23:40:32 | JVM exited unexpectedly.
STATUS | wrapper  | 2014/12/02 23:40:36 | Launching a JVM...
INFO   | jvm 2    | 2014/12/02 23:40:39 | WrapperManager: Initializing...
INFO   | jvm 2    | 2014/12/02 23:40:42 | 23:40:41.934 [WrapperSimpleAppMain] INFO  rebat-db - Checking schema...
INFO   | jvm 2    | 2014/12/02 23:40:43 | 23:40:43.461 [WrapperSimpleAppMain] INFO  rebat-db - Schema OK!
INFO   | jvm 2    | 2014/12/02 23:40:43 | 23:40:43.786 [WrapperSimpleAppMain] INFO  rebat-db - Listening on port 2011 ...
STATUS | wrapper  | 2014/12/02 23:41:25 | JVM received a signal SIGKILL (9).
STATUS | wrapper  | 2014/12/02 23:41:25 | JVM process is gone.
ERROR  | wrapper  | 2014/12/02 23:41:25 | JVM exited unexpectedly.
STATUS | wrapper  | 2014/12/02 23:41:30 | Launching a JVM...
INFO   | jvm 3    | 2014/12/02 23:41:30 | WrapperManager: Initializing...
INFO   | jvm 3    | 2014/12/02 23:41:31 | 23:41:31.276 [WrapperSimpleAppMain] INFO  rebat-db - Checking schema...
INFO   | jvm 3    | 2014/12/02 23:41:31 | 23:41:31.734 [WrapperSimpleAppMain] INFO  rebat-db - Schema OK!
INFO   | jvm 3    | 2014/12/02 23:41:31 | 23:41:31.755 [WrapperSimpleAppMain] INFO  rebat-db - Listening on port 2011 ...
STATUS | wrapper  | 2014/12/02 23:41:42 | JVM received a signal SIGKILL (9).
STATUS | wrapper  | 2014/12/02 23:41:42 | JVM process is gone.
ERROR  | wrapper  | 2014/12/02 23:41:42 | JVM exited unexpectedly.
STATUS | wrapper  | 2014/12/02 23:41:47 | Launching a JVM...
INFO   | jvm 4    | 2014/12/02 23:41:47 | WrapperManager: Initializing...
INFO   | jvm 4    | 2014/12/02 23:41:47 | 23:41:47.887 [WrapperSimpleAppMain] INFO  rebat-db - Checking schema...
INFO   | jvm 4    | 2014/12/02 23:41:48 | 23:41:48.316 [WrapperSimpleAppMain] INFO  rebat-db - Schema OK!
INFO   | jvm 4    | 2014/12/02 23:41:48 | 23:41:48.340 [WrapperSimpleAppMain] INFO  rebat-db - Listening on port 2011 ...
STATUS | wrapper  | 2014/12/02 23:42:58 | JVM received a signal SIGKILL (9).
STATUS | wrapper  | 2014/12/02 23:42:58 | JVM process is gone.
ERROR  | wrapper  | 2014/12/02 23:42:58 | JVM exited unexpectedly.
STATUS | wrapper  | 2014/12/02 23:43:02 | Launching a JVM...
INFO   | jvm 5    | 2014/12/02 23:43:04 | WrapperManager: Initializing...
INFO   | jvm 5    | 2014/12/02 23:43:07 | 23:43:07.030 [WrapperSimpleAppMain] INFO  rebat-db - Checking schema...
INFO   | jvm 5    | 2014/12/02 23:43:08 | 23:43:08.235 [WrapperSimpleAppMain] ERROR rebat-db - RebatDB configuration failed
INFO   | jvm 5    | 2014/12/02 23:43:08 | com.mysql.jdbc.exceptions.jdbc4.CommunicationsException: Communications link failure
INFO   | jvm 5    | 2014/12/02 23:43:08 | 
INFO   | jvm 5    | 2014/12/02 23:43:08 | The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.
INFO   | jvm 5    | 2014/12/02 23:43:08 | 	at sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method) ~[na:1.8.0_25]
INFO   | jvm 5    | 2014/12/02 23:43:08 | 	at sun.reflect.NativeConstructorAccessorImpl.newInstance(NativeConstructorAccessorImpl.java:62) ~[na:1.8.0_25]
INFO   | jvm 5    | 2014/12/02 23:43:08 | 	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingConstructorAccessorImpl.java:45) ~[na:1.8.0_25]
INFO   | jvm 5    | 2014/12/02 23:43:08 | 	at java.lang.reflect.Constructor.newInstance(Constructor.java:408) ~[na:1.8.0_25]
INFO   | jvm 5    | 2014/12/02 23:43:08 | 	at com.mysql.jdbc.Util.handleNewInstance(Util.java:411) ~[mysql-connector-java-5.1.24.jar:na]
INFO   | jvm 5    | 2014/12/02 23:43:08 | 	at com.mysql.jdbc.SQLError.createCommunicationsException(SQLError.java:1121) ~[mysql-connector-java-5.1.24.jar:na]
